RF_GHz,MeasuredPower_dBm
6,-21.12
6.1,-21.01
6.2,-21.08
6.3,-21.26
6.4,-21.25
6.5,-21.12
6.6,-21.16
6.7,-20.27
6.8,-20.4
6.9,-20.51
7,-19.47
7.1,-19.42
7.2,-19.44
7.3,-18.1
7.4,-18.15
7.5,-17.8
7.6,-16.8
7.7,-16.75
7.8,-16.81
7.9,-16.15
8,-16.2
8.1,-16.86
8.2,-16.78
8.3,-16.85
8.4,-17.09
8.5,-17.43
8.6,-17.32
8.7,-17.62
8.8,-17.63
8.9,-17.84
9,-18.26
9.1,-18.42
9.2,-18.59
9.3,-19.31
9.4,-19.25
9.5,-19.92
9.6,-19.85
9.7,-20.16
9.8,-20.35
9.9,-20.34
10,-20.41
10.1,-21.04
10.2,-21
10.3,-21.05
10.4,-22.02
10.5,-21.06
10.6,-21.98
10.7,-22.07
10.8,-21.18
10.9,-22.03
11,-22.18
11.1,-21.98
11.2,-21.88
11.3,-22
11.4,-22.08
11.5,-21.99
11.6,-21.94
11.7,-21.29
11.8,-21.3
11.9,-21.3
12,-21.15
